,n_total_items,n_participants,est_cost
0,40,60,307.23
1,60,90,460.845
2,80,120,614.46
3,90,140,716.87
4,100,150,768.0750000000002
5,120,170,870.4850000000001
6,120,180,921.69
7,140,200,1024.1
8,140,210,1075.305
9,150,220,1126.51
10,160,230,1177.715
11,160,240,1228.92
12,170,250,1280.1250000000002
13,180,260,1331.3300000000002
14,180,270,1382.5349999999999
15,190,280,1433.74
16,200,300,1536.1500000000003
17,210,310,1587.355
18,220,320,1638.5600000000002
19,220,330,1689.765
20,230,340,1740.9700000000003
21,230,350,1792.175
22,240,350,1792.175
23,240,360,1843.38
24,250,360,1843.38
25,250,370,1894.5849999999998
26,260,380,1945.7899999999997
27,260,390,1996.9950000000001
28,270,400,2048.2
29,270,410,2099.405
30,280,420,2150.61
31,290,420,2150.61
32,290,430,2201.815
33,300,440,2253.02
34,300,450,2304.225
35,310,460,2355.43
36,310,470,2406.6349999999998
37,320,470,2406.6349999999998
38,330,480,2457.84
39,330,490,2509.045
40,340,500,2560.2500000000005
41,340,510,2611.455
42,350,510,2611.455
43,350,520,2662.6600000000003
44,360,530,2713.8650000000002
45,370,550,2816.275
46,380,560,2867.48
47,380,570,2918.685
48,390,570,2918.685
49,390,580,2969.89
50,390,590,3021.0950000000003
51,400,590,3021.0950000000003
52,400,600,3072.3000000000006
53,410,600,3072.3000000000006
54,400,610,3123.505
55,410,610,3123.505
56,420,610,3123.505
57,420,620,3174.71
58,420,630,3225.9150000000004
59,430,630,3225.9150000000004
60,430,640,3277.1200000000003
61,440,640,3277.1200000000003
62,430,650,3328.325
63,440,650,3328.325
64,450,660,3379.53
65,450,670,3430.7349999999997
66,450,680,3481.9400000000005
67,460,680,3481.9400000000005
68,470,680,3481.9400000000005
69,460,690,3533.1450000000004
70,470,690,3533.1450000000004
71,480,690,3533.1450000000004
72,470,700,3584.35
73,480,700,3584.35
74,480,710,3635.555
75,480,720,3686.76
76,490,720,3686.76
77,500,720,3686.76
78,490,730,3737.965
79,500,730,3737.965
80,490,740,3789.1699999999996
81,500,740,3789.1699999999996
82,500,750,3840.375
83,510,750,3840.375
84,510,760,3891.5799999999995
85,520,760,3891.5799999999995
86,510,770,3942.7850000000003
87,520,770,3942.7850000000003
88,530,770,3942.7850000000003
89,520,780,3993.9900000000002
90,530,780,3993.9900000000002
91,520,790,4045.1950000000006
92,530,790,4045.1950000000006
93,540,790,4045.1950000000006
94,550,790,4045.1950000000006
95,530,800,4096.4
96,540,800,4096.4
97,540,810,4147.605
98,550,810,4147.605
99,560,810,4147.605
100,550,820,4198.81
101,560,820,4198.81
102,550,830,4250.015
103,560,830,4250.015
104,570,830,4250.015
105,560,840,4301.22
106,570,840,4301.22
107,560,850,4352.424999999999
108,570,850,4352.424999999999
109,580,850,4352.424999999999
110,570,860,4403.63
111,580,860,4403.63
112,590,860,4403.63
113,570,870,4454.835
114,580,870,4454.835
115,590,870,4454.835
116,580,880,4506.04
117,590,880,4506.04
118,600,880,4506.04
119,590,890,4557.245
120,600,890,4557.245
121,600,900,4608.45
122,610,900,4608.45
123,620,900,4608.45
124,610,910,4659.655
125,620,910,4659.655
126,630,910,4659.655
127,610,920,4710.86
128,620,920,4710.86
129,630,920,4710.86
130,620,930,4762.0650000000005
131,630,930,4762.0650000000005
132,630,940,4813.2699999999995
133,640,940,4813.2699999999995
134,650,940,4813.2699999999995
135,630,950,4864.475
136,640,950,4864.475
137,650,950,4864.475
138,640,960,4915.68
139,650,960,4915.68
140,650,970,4966.885000000001
141,660,970,4966.885000000001
142,650,980,5018.09
143,660,980,5018.09
144,670,980,5018.09
145,660,990,5069.295
146,670,990,5069.295
147,680,990,5069.295
