,security,conformity,tradition,benevolence,universalism,self-direction,stimulation,hedonism,achievement,power,song_id
0,0.08469609,0.07125783,0.07629014,0.10350782,0.08919019,0.10080428,0.07222919,0.10034202,0.08147016,0.087737754,4116102
1,0.07199103,0.07114078,0.07674032,0.09229847,0.08202472,0.09203519,0.07547994,0.09618353,0.08664744,0.08418961,80257632
2,0.07936902,0.0650111,0.07210497,0.10057044,0.08652234,0.101224616,0.06927629,0.10206281,0.07455765,0.078862235,2241308
3,0.07594937,0.061815728,0.07045481,0.08836162,0.077948906,0.087932855,0.06944437,0.091474086,0.07021956,0.08458544,204336669
4,0.084524244,0.0692509,0.084849335,0.10021911,0.08865109,0.09877581,0.0628666,0.09580456,0.08391843,0.08766445,34952275
5,0.051745422,0.064909,0.045892708,0.05210785,0.06059692,0.060204647,0.05459418,0.05334065,0.058850143,0.059779942,17390586
6,0.080977775,0.069821894,0.08753527,0.11135242,0.09591698,0.10534884,0.07426639,0.1056865,0.08895525,0.082275376,9223300
7,0.07838875,0.070648864,0.08979759,0.10127114,0.07877606,0.071553394,0.049900692,0.100414924,0.025788886,0.061624385,149782763
8,0.026375143,0.047232307,0.08333042,0.0686462,0.055838555,0.053648293,0.08327832,0.09115957,0.02512469,0.05168533,99962781
9,0.06335101,0.05727317,0.07001072,0.069391854,0.060179062,0.0660775,0.059332862,0.07744767,0.04341799,0.077431895,136930153
10,0.05516375,0.055102505,0.07051761,0.07652269,0.06667708,0.07134598,0.06752519,0.085223,0.043051515,0.058894016,85912872
11,0.086111784,0.0659441,0.082225144,0.094762295,0.087736316,0.093130596,0.05786718,0.091775924,0.09286643,0.090075776,57005765
12,0.07856463,0.06236171,0.079179496,0.09716523,0.084735505,0.09589805,0.06744892,0.097802915,0.09225145,0.08283493,99567690
13,0.08152387,0.05890483,0.06621986,0.090115406,0.080854386,0.090329096,0.071202405,0.092671506,0.076458186,0.08064338,151085454
14,0.074899785,0.06629401,0.096859336,0.09821549,0.085940555,0.08184244,0.057081584,0.087941185,0.061909363,0.091991834,134245347
15,0.06757949,0.0587923,0.047028176,0.066259585,0.06331951,0.07166083,0.060472965,0.06676754,0.073421,0.091374725,16074172
16,0.07897952,0.06783925,0.08084527,0.09750972,0.08228599,0.09599511,0.05751171,0.09331854,0.06992147,0.079168,61210999
17,0.04277317,0.06019333,0.060678087,0.04443048,0.049369246,0.045081038,0.06237435,0.05774738,0.020998534,0.037743255,102814436
18,0.07618147,0.065373994,0.08145643,0.091600955,0.08360272,0.095315814,0.074389786,0.09778868,0.080620356,0.08219652,205113268
19,0.062423646,0.07276333,0.073748775,0.0767938,0.07225977,0.079091154,0.08078051,0.09106481,0.05596754,0.078752935,99526020
20,0.06967294,0.06821011,0.078154355,0.09367509,0.0725947,0.081209734,0.053663597,0.089416265,0.06525037,0.07102096,152156851
21,0.038881697,0.052333806,0.062101122,0.059415992,0.05587079,0.05509929,0.050027475,0.072179064,0.034314565,0.028385753,17997657
22,0.0752452,0.060530663,0.07279785,0.08076347,0.07116194,0.08180719,0.049475785,0.07968301,0.06921142,0.08013266,55713838
23,0.08304881,0.066104166,0.07430102,0.07558525,0.07826389,0.08362681,0.056193754,0.083155304,0.081807904,0.09582654,97622225
24,0.027119115,0.043753833,0.07490595,0.0685587,0.054386318,0.059141137,0.07495812,0.09201044,0.03972865,0.04797235,114553438
25,0.065346025,0.051494405,0.08943966,0.089044906,0.07337625,0.083653875,0.06627438,0.10194099,0.06196393,0.07107778,45138126
26,0.0713253,0.07272072,0.09545976,0.08965187,0.08730901,0.0873501,0.053825263,0.09182839,0.07745455,0.09245006,51897534
27,0.04332781,0.045130055,0.09107624,0.08134926,0.07203661,0.0773081,0.07870631,0.121496536,0.046267323,0.05828048,74451241
28,0.094876565,0.06460971,0.07489606,0.084520884,0.07555853,0.08702528,0.060977947,0.079830624,0.071825564,0.09456329,6629722
29,0.03509628,0.06268523,0.040604178,0.034780346,0.04488255,0.037711807,0.050972767,0.05135808,0.014728802,0.034240782,111234596
30,0.0726562,0.07329109,0.08446254,0.09290836,0.08741757,0.09576754,0.07489503,0.10268513,0.068973094,0.079375,126273707
31,0.07610546,0.060766432,0.08759396,0.10679007,0.082680345,0.092714824,0.065331236,0.111039095,0.06459255,0.07405944,99567684
32,0.0776318,0.06666282,0.084473826,0.085755706,0.075350344,0.09038815,0.06781407,0.096331686,0.0735024,0.08836726,102339234
33,0.060642637,0.05600003,0.072924495,0.08205891,0.07136214,0.074754804,0.062276334,0.083400026,0.05791589,0.05890501,1632500
34,0.05623202,0.06453756,0.09471229,0.104066044,0.0870951,0.09425357,0.080218375,0.12245954,0.05384256,0.070942625,35094579
35,0.06851618,0.060734678,0.07032772,0.06707784,0.07543666,0.06933273,0.059319112,0.07870164,0.054411247,0.07021864,16843548
36,0.07349886,0.06067475,0.07074696,0.08636698,0.07753727,0.08697018,0.06708664,0.08862534,0.07291621,0.076786704,106839634
37,0.0798295,0.06528186,0.081406265,0.09299888,0.07815929,0.086666726,0.057904106,0.08924271,0.06506281,0.07965559,134245346
38,0.102812394,0.07520932,0.07074271,0.0965594,0.092740856,0.09597312,0.08969188,0.0852449,0.07562627,0.18812503,5635960
39,0.07593608,0.06508247,0.07207915,0.093464635,0.07798936,0.08486959,0.06417948,0.09197598,0.06519713,0.08325598,142836663
40,0.07343532,0.059434112,0.07975426,0.10201044,0.0759905,0.080991045,0.05733048,0.083720416,0.065474294,0.073089406,152156857
41,0.05892095,0.08300696,0.068763144,0.062423505,0.07314548,0.0697004,0.08051049,0.081044555,0.045864247,0.073095255,84371480
42,0.07264294,0.07118305,0.08949342,0.111925915,0.09315224,0.10699525,0.08319828,0.1167921,0.07788409,0.07952179,46337905
