row_number,participant_ID,item_ID,POWER,ACHIEVEMENT,HEDONISM,STIMULATION,SELF,UNIVERSALISM,BENEVOLENCE,TRADITION,CONFORMITY,SECURITY
1,glove_idf,126273707,7.68771277964452,5.678758423414348,7.611069448446855,5.039380651849876,6.610319819858173,6.024172594934109,6.968759577319269,5.68705587490987,3.7432082374934716,6.944967463046289
2,glove_idf,99567684,6.385385047080656,4.720420932137886,6.654167365418772,5.259673232079277,6.0903089437851055,5.486158587070044,6.2863437651383345,5.492417574972289,3.5818847837999823,5.786140228072954
3,glove_idf,102339234,5.889668261014883,4.545557178668041,6.108572723127809,4.250269816365581,5.669804908142954,5.518605367704755,6.123271144819081,6.074073933674199,3.7389650035410833,5.5755975772716555
4,glove_idf,1632500,5.010126709047572,3.306712518252649,5.228726702481886,3.8346378018730367,4.546171600933474,4.3283079245480085,4.883470916334832,4.736524106462559,2.92710924401673,4.240992120475851
5,glove_idf,35094579,7.395661860369033,4.839044201368382,6.1687221839444675,4.512979713615177,5.857723706502456,5.095649936343181,5.671606625282701,5.112498469294242,3.6510878569044487,5.926617730326929
6,glove_idf,16843548,5.682511902740379,4.576055836666497,5.898797631443474,4.2663793675247526,5.749706143837041,5.256343771383184,6.087101738159531,5.523943906969565,3.482801865036456,5.519813802842829
7,glove_idf,106839634,5.478540606023694,4.114614357919875,4.910066170341019,4.250877869742363,4.979834675983092,4.7611142984399555,5.140026712783229,4.685651178670364,3.2852991772248954,5.098733956091436
8,glove_idf,134245346,6.831053047181671,5.279255881846417,6.240615617342732,4.8184432535626245,6.423968499331054,5.942059807623179,6.5715753234492364,5.692162486861961,4.127961903668986,6.160308620855308
9,glove_idf,5635960,6.766247341679211,5.259458988253705,8.405212394782602,5.236523529721561,6.943490207805488,6.410082786857035,7.959658290200595,6.718833178491293,3.519234973519699,5.891491219071113
10,glove_idf,142836663,4.3656910654127214,2.7821469836021753,4.587671034257776,2.6208714285449464,4.086709079120384,4.1488518792125655,4.783430538368841,4.0496740055863825,2.7372330010150345,4.4961676401498325
11,glove_idf,152156857,6.51051551057484,5.146912064868708,7.300628637199217,5.09377581544712,6.522487400189853,5.968770829237762,7.087733364872658,5.832727458088266,3.615635193466314,5.919056678830831
12,glove_idf,46337905,7.505642156661358,6.16385429082922,7.423482366211063,5.571111601157822,7.509440343948196,7.206118578008784,8.098926860965708,6.8473032673421566,4.907865791497496,6.994921154336328
13,glove_idf,828136,6.067757789781453,4.767491172323082,6.064654161773975,4.3985618203014365,5.708054127242419,5.280722575121948,6.171052404923686,5.236876360629821,3.3064429827361437,5.543898062152097
14,glove_idf,80988232,5.031726260568776,3.738323732914184,5.06725121527356,3.707039838578241,4.819788965962799,4.5157882035634405,5.054165904666269,4.672545817000888,3.2036425722268835,4.88913157597049
15,glove_idf,76983686,7.270032284533717,5.845483102336414,7.987295953560074,5.9355622225490645,7.341701000611371,6.9270858349817335,8.210064667362971,6.897751505447604,4.402514463649965,6.502624494495235
16,glove_idf,148763951,5.191685476910247,3.948737884368188,4.728312027819235,3.3703445753595975,4.885935585116517,4.706215510838456,5.167923145602213,4.828391468241308,3.3168644747344898,4.654304031614737
17,glove_idf,2107983,6.8054653788986945,5.493473168786519,6.287696428000479,4.828326246835074,6.529352855638111,6.050680215730441,6.742305448961718,5.659182470470752,4.17537026225698,6.256075394815611
18,glove_idf,57005772,5.41389975538922,4.106803902847195,5.313936371616917,4.006795943052203,5.218517490200626,4.869749447085903,5.440995539148316,4.6948021375708455,3.447902592724555,5.1360079174758635
19,glove_idf,2565059,7.822021187762774,6.293211494139015,7.704058218883293,5.710564197549422,7.455554025010142,7.084659939919767,7.8170819107971745,6.999653673214979,4.819242480939551,7.1553484063669215
20,glove_idf,98114160,6.04148898454441,4.713297247591912,6.086111036239723,4.470702313488379,5.946310866287323,5.514780631434146,6.295307574108847,5.465157668667702,3.5596123187640654,5.639744661431765
21,glove_idf,49562778,6.564357894541653,5.304388909921002,7.06974078378275,5.094562749194582,6.368266463297076,5.850058699522222,6.808601341243438,5.942066206408427,3.6026055063648816,6.157282768539546
22,glove_idf,19226344,3.9520363510827483,2.357649100106844,4.708122983043551,2.8639840752725103,3.779618436983237,3.6957286118871173,4.152253129628041,4.308095944179174,2.3578511649737672,3.9093084038046255
23,glove_idf,152156863,5.795506261735401,4.345411090963182,5.5031131310101395,4.017695455892987,5.513587663855316,5.039839980100551,5.696587866682271,5.130314301644737,3.3045436838181828,5.287707521766281
24,glove_idf,1027136,6.734848519570425,5.454813323159091,5.909372851250113,4.813692594874993,6.272921754746983,5.919060157464053,6.344894675094353,5.599776924227253,4.153774285597737,6.096715684403882
25,glove_idf,152997654,5.674667515424587,4.022139570447091,5.713489029832413,4.6942893418962,4.860559024016644,4.632666231146109,5.392966184956916,4.732776874181885,3.055761647327662,5.061819374906332
26,glove_idf,59403627,6.748019215113285,5.397026182044746,7.311551794473865,4.929577496625257,6.841231465161039,6.232690020405501,7.402704011416096,6.128636773433706,3.638735196323038,6.368885477190727
27,glove_idf,113169861,5.338372175312976,3.6389558099433716,4.6263020133616415,3.364330511676229,4.353462075759397,4.391330204201358,4.4216799722405975,4.674388643726656,2.8746067615069357,4.792584577412775
