row_number,participant_ID,item_ID,POWER,ACHIEVEMENT,HEDONISM,STIMULATION,SELF,UNIVERSALISM,BENEVOLENCE,TRADITION,CONFORMITY,SECURITY
1,glove840B300d_idf_weight_lyrics,4116102,0.2616403102874756,0.2145819365978241,0.2512924075126648,0.1870249360799789,0.2726286351680755,0.2405107915401458,0.2789427042007446,0.231729507446289,0.1652160584926605,0.2453391104936599
2,glove840B300d_idf_weight_lyrics,80257632,0.2295118272304535,0.1814414858818054,0.2276638597249984,0.1788573861122131,0.2377572208642959,0.2068656980991363,0.2382322996854782,0.1971315145492553,0.1441500782966613,0.2130099236965179
3,glove840B300d_idf_weight_lyrics,2241308,0.2288672626018524,0.1826060861349105,0.2402607202529907,0.1600927263498306,0.2480140924453735,0.2088254392147064,0.2520591020584106,0.2010236233472824,0.1251793801784515,0.2150160670280456
4,glove840B300d_idf_weight_lyrics,204336669,-0.1031594723463058,-0.1324962526559829,-0.0051486520096659,-0.0683103650808334,-0.0462603792548179,-0.0706708505749702,-0.0767735093832016,-0.0407145917415618,-0.0539914518594741,-0.0777927637100219
5,glove840B300d_idf_weight_lyrics,34952275,0.2444518655538559,0.2059516459703445,0.2333083748817443,0.1812950074672699,0.2537285685539245,0.2289478480815887,0.249856099486351,0.242875337600708,0.1643013507127761,0.2254067957401275
6,glove840B300d_idf_weight_lyrics,9223300,0.2545606195926666,0.2145567536354065,0.2555477023124695,0.1848131418228149,0.2730123996734619,0.2434357404708862,0.2796753346920013,0.2401361763477325,0.1655267775058746,0.2383681535720825
7,glove840B300d_idf_weight_lyrics,149782763,0.1407237946987152,0.0914506316184997,0.2087463438510894,0.1223218291997909,0.1595022082328796,0.1597330570220947,0.1941089630126953,0.1674478948116302,0.1176736950874328,0.160735011100769
8,glove840B300d_idf_weight_lyrics,99962781,0.0851489156484603,0.0614987984299659,0.1011832803487777,0.0558180585503578,0.072787806391716,0.0693396404385566,0.0920432060956955,0.136110246181488,0.058045394718647,0.0497504770755767
9,glove840B300d_idf_weight_lyrics,57005765,0.2691797614097595,0.2382888197898864,0.260090172290802,0.1840672045946121,0.281115174293518,0.2489035129547119,0.2828890383243561,0.2492348849773407,0.1695641726255417,0.2534751892089844
10,glove840B300d_idf_weight_lyrics,99567690,0.232591450214386,0.200059175491333,0.23971489071846,0.1681938916444778,0.2459475696086883,0.2143390327692031,0.2516672611236572,0.1991516798734665,0.1313585937023162,0.2212175726890564
