,security,conformity,tradition,benevolence,universalism,self-direction,stimulation,hedonism,achievement,power
0,0.5632932850,-0.5545379931,0.1418445309,-0.2486504616,0.1476583511,1.7240466570,-0.3170951264,-0.8331859741,-0.0053726175,2.2428318340
1,0.5518220785,-0.2473826457,0.2590767586,-0.0318659542,0.1380934374,1.2167193342,-0.0727850092,-0.2909791365,-0.1250765572,1.3691430231
2,0.4351761517,-0.3468224194,0.5236934420,-0.1023092213,0.1504342460,0.9149467305,-0.2910431435,-0.2880961982,-0.2970692131,1.2833736029
3,0.7705154594,-0.2157866826,0.2681033070,-0.1087476345,0.1187173995,0.9507574610,-0.3371593211,-0.3614907584,-0.2020296855,0.9953083140
4,0.9789461889,-0.3221983615,0.0939446109,-0.0531438176,0.0885620654,1.1340960648,-0.5572396984,-0.6898898044,-0.2297838891,1.7798397937
5,0.7624521043,-0.2577295013,0.2654592157,-0.0693293478,0.1628738462,1.3110978818,-0.4087089077,-0.5006085237,-0.1696188905,1.3981027233
6,0.8161931670,-0.2925911378,0.2231092981,-0.1335018120,0.1530308361,1.3124580288,-0.5024018778,-0.4875620224,-0.0945364385,1.4918179707
7,1.0510137060,-0.1679397749,0.4163783295,0.0621136564,0.2412101063,1.7388338198,-0.3265009935,-0.5172708305,0.0300491017,1.9879873760
8,0.8997547531,-0.5760228843,0.3806271236,0.0888549655,0.1991797208,1.4577020026,-0.4376158160,-0.6127182144,-0.2225305226,1.5008977468
9,0.5932184759,-0.4873287529,0.0618083493,-0.2284424644,0.0723060304,1.2185528981,-0.6930180852,-0.7590172150,-0.3704911318,1.2476666714
10,0.9335352426,-0.5138206067,0.1241377076,-0.1554434959,0.1653336785,1.7828622208,-0.4631431368,-0.8477359812,-0.2707157705,2.0492606867
11,1.1735776591,-0.2370734725,0.3186175806,0.0939524377,0.2750859505,1.9310204953,-0.4728031106,-0.6254784672,0.0552765887,1.9442450224
12,1.0207544475,-0.1457404749,0.2631343651,-0.0951256454,0.1967455639,1.5414231552,-0.3407728255,-0.4391220279,-0.1598399191,1.7533846431
13,0.7861882638,-0.2895619078,0.3261104602,-0.0769894179,0.1686427263,1.3210681307,-0.5161278657,-0.5276630677,-0.0556527123,1.4248035523
14,1.0886123657,-0.4469020800,0.2101823705,-0.0666340120,0.2444084679,1.7902314574,-0.4550955839,-0.5842511674,-0.2393995350,2.1360960282
15,0.8375758924,-0.2885441401,0.3620098552,-0.0567956821,0.1859627709,1.3550411516,-0.4372694662,-0.4909717959,-0.1429753518,1.7820158405
16,0.9979386486,-0.3242935051,0.2990595092,-0.0136480877,0.2011093559,1.6866082692,-0.5851726814,-0.7212131990,-0.1214513695,1.7739052825
17,0.6879489449,-0.3928078431,0.1112142357,-0.1780662524,0.1019153567,1.2235363289,-0.5578649430,-0.6418792051,-0.1801347826,1.4110708033
18,0.9522799590,-0.1922065248,0.6038631005,0.1927843125,0.2353023501,1.6793377343,-0.5204671812,-0.3193298062,-0.0711862204,1.9521304346
19,0.9322606883,-0.6413710810,0.1873011827,-0.0589539197,0.1393036265,1.5920210294,-0.6565772625,-0.6080626630,-0.4162160591,1.8722361303
20,0.8679704890,-0.5199384327,0.3326087443,-0.2717164054,0.1037856622,1.3887069092,-0.6657190753,-0.8357010702,-0.4023890807,1.8203098413
21,0.7031563787,-0.7068500853,0.0416144791,-0.4432741520,0.0458240901,1.4354557121,-0.7580955646,-0.6321021120,-0.5004976032,1.5527724675
22,0.9354158605,-0.3503802070,0.1795788797,-0.0829713484,0.1637768009,1.4973782432,-0.5801750401,-0.6803415562,-0.0895816554,1.7926971239
23,0.8960632802,-0.3136295114,0.3855180024,0.1096622288,0.2128780146,1.7382563743,-0.5041794149,-0.5459680084,-0.0543421913,1.9793713125
24,0.6083422935,-0.4193605191,0.1197804781,-0.1968168308,0.1296546573,1.0381662309,-0.0637787066,-0.4436770999,0.1563843559,1.5253175171
