,security,conformity,tradition,benevolence,universalism,self-direction,stimulation,hedonism,achievement,power
0,0.1408285172,-0.0658570936,0.0465387407,-0.0478439802,0.0232105446,0.3223096126,-0.1086695685,-0.1460808809,-0.0018059662,0.3671569845
1,0.1687652429,-0.0867152339,0.0609735184,-0.0470478585,0.0335020702,0.3534278445,-0.0266466939,-0.1186662229,-0.0281766537,0.2982126461
2,0.1383861600,-0.0702726347,0.0945192504,-0.0600303074,0.0306000341,0.2755702387,-0.0912851785,-0.1110131424,-0.0352039279,0.3378674064
3,0.1620320963,-0.0577920760,0.0763751625,-0.0225066431,0.0251185597,0.2185059491,-0.0920418967,-0.0897244458,-0.0292895127,0.2410753477
4,0.2048212690,-0.1212977309,0.0643272225,-0.0895495447,0.0100897757,0.2336460898,-0.2086378513,-0.1377675575,-0.0528172482,0.3105121367
5,0.1879503023,-0.0654468620,0.0831307095,-0.0381646083,0.0351475775,0.3220003480,-0.1081912501,-0.1328316547,-0.0352264202,0.3613956442
6,0.1743694135,-0.0767923961,0.0541439692,-0.0551707257,0.0263454742,0.2929584028,-0.1200738493,-0.1236107025,-0.0265531074,0.3487155449
7,0.2155152327,-0.0581288919,0.0914635828,-0.0225345059,0.0444361617,0.3663769357,-0.0869449221,-0.1301221202,-0.0223889047,0.4266630743
8,0.1480560315,-0.0856971685,0.0387232592,-0.0293881554,0.0247764900,0.2832859270,-0.1248821273,-0.1246081906,-0.0744548907,0.2569874243
9,0.1324638472,-0.0626395159,0.0181072348,-0.0646501615,0.0139017270,0.2030790661,-0.1371363746,-0.1199643954,-0.0611282210,0.2374698725
10,0.1772644165,-0.0979892696,0.0411490466,-0.0389682198,0.0273557416,0.3243528678,-0.1082753708,-0.1464139686,-0.0548403535,0.3755491819
11,0.2090169869,-0.0596827891,0.0867470877,-0.0084946451,0.0469179037,0.3794420206,-0.1109158346,-0.1417476785,-0.0198827604,0.3968736566
12,0.1998267698,-0.0377609690,0.0710954239,-0.0263431068,0.0339031436,0.2963144318,-0.0890415037,-0.1185709375,-0.0399831090,0.3797102406
13,0.1858080479,-0.0703834497,0.0827123823,-0.0382564823,0.0371440125,0.3320919628,-0.1018846032,-0.1395502770,-0.0140142586,0.3903568883
14,0.1875844114,-0.0849322691,0.0664823343,-0.0136714652,0.0391336205,0.3438614169,-0.1324687335,-0.1319505950,-0.0536874870,0.4089380194
15,0.1780186421,-0.0667089386,0.0892152299,-0.0298399010,0.0370386958,0.3115311604,-0.1187617290,-0.1220108802,-0.0224738788,0.4024481644
16,0.2072033465,-0.0852292605,0.0698062526,-0.0240436614,0.0372968504,0.3709135987,-0.1318041348,-0.1582172544,-0.0440752490,0.3934531164
17,0.1594951384,-0.0771468093,0.0489785289,-0.0429568591,0.0229277009,0.2849434389,-0.1405187979,-0.1322726818,-0.0248123818,0.3384639200
18,0.1866457343,-0.0537803815,0.1136863742,-0.0201078368,0.0438566057,0.3471831975,-0.1012032947,-0.1031508708,-0.0402763595,0.4045219729
19,0.1739918927,-0.0949770537,0.0555620596,-0.0448409744,0.0290419284,0.3132629531,-0.1253146087,-0.1344238187,-0.0589990056,0.3701972527
20,0.1797925855,-0.0977999142,0.0701385226,-0.0661404855,0.0154787403,0.2897734553,-0.1372113288,-0.1601313408,-0.0750415424,0.3252250738
21,0.1224030521,-0.1032755253,0.0154842497,-0.0510730046,0.0062137147,0.2453801172,-0.1258339549,-0.1110675180,-0.0641753344,0.2721896495
22,0.1751955066,-0.0740272115,0.0564483520,-0.0368624225,0.0273060252,0.3160747356,-0.1313002071,-0.1324585469,-0.0258090662,0.3540169809
23,0.1958936160,-0.0833257892,0.0707927632,-0.0163595084,0.0375962208,0.3676390153,-0.1265911169,-0.1243077473,-0.0173975101,0.4105058417
24,0.1245550594,-0.0926858387,0.0476641174,-0.0449920892,0.0291668412,0.2513988259,-0.0258777714,-0.1070328370,-0.0210939573,0.2907938714
25,0.2033475749,-0.0843215826,0.0700342291,-0.0036156508,0.0297950826,0.3426580115,-0.1478755586,-0.1730242051,-0.0558677817,0.3737457448
26,0.0978347049,-0.0551335019,0.0645954143,-0.0454231904,0.0203884376,0.2080981344,-0.1098925900,-0.1030201432,-0.0230733183,0.2802717259
27,0.1250738175,-0.0690828163,0.1279222110,-0.0574852184,0.0247216245,0.2889192207,-0.0325524790,-0.1308141820,-0.0050575500,0.3790682379
28,0.1426766592,-0.0523054739,0.0945123701,-0.0306256590,0.0343371304,0.2576733000,-0.0798109635,-0.0684150281,-0.0201371226,0.3363674573
29,0.1751722865,-0.0980433472,0.0785149902,-0.0511039308,0.0312889610,0.3428895252,-0.1246199699,-0.1294106526,-0.0147303309,0.3698625698
30,0.1925790444,-0.0843809010,0.0547858323,-0.0218251960,0.0374879990,0.3485784082,-0.1325893543,-0.1385534073,-0.0358406800,0.4082745173
31,0.1563140130,-0.0843896034,0.0326779148,-0.0515767535,0.0242399544,0.2690066107,-0.1341067065,-0.1442326340,-0.0512710330,0.3496841008
32,0.1016206259,-0.0612659650,0.0028548462,-0.0858257116,-0.0029200876,0.3169946783,-0.1856399489,-0.1464858687,-0.0924404587,0.2920359927
33,0.2156900497,-0.0296560585,0.0749959330,0.0106842968,0.0507629110,0.3546962311,-0.0589755742,-0.0601921728,0.0094337697,0.6411177679
34,0.1250541456,-0.0765259931,0.0588292932,-0.0428920370,0.0232775994,0.2306033121,-0.0894078024,-0.1016574588,-0.0427988962,0.2771395036
35,0.1782275749,-0.0941485811,0.0646480993,-0.0418612620,0.0288417603,0.3010115856,-0.1172540564,-0.1397621960,-0.0347374582,0.3736544241
36,0.1730717559,-0.0648311429,0.0647043829,-0.0473315410,0.0285545204,0.3052166240,-0.1385359690,-0.1251612843,-0.0068857323,0.3727360646
