,security,conformity,tradition,benevolence,universalism,self-direction,stimulation,hedonism,achievement,power
0,0.1097962731,-0.0844959172,0.0414329652,-0.0462157354,0.0160125945,0.2525027670,-0.0782715719,-0.1105893865,-0.0251950730,0.3031643783
1,0.1301942940,-0.0819098701,0.0547812463,-0.0295733345,0.0256158698,0.2743039488,-0.0179449693,-0.0831742145,-0.0283465874,0.2551114333
2,0.1148823977,-0.0711756835,0.0682219523,-0.0421295109,0.0226815324,0.2133408592,-0.0599032118,-0.0791128000,-0.0422924357,0.2724570063
3,0.1271190487,-0.0551641967,0.0572749581,-0.0288625865,0.0204282350,0.1827672199,-0.0667500551,-0.0719685977,-0.0282874790,0.2033593548
4,0.1570139792,-0.0655414473,0.0226500624,-0.0641295123,0.0047630945,0.1999084799,-0.1411876394,-0.0960816601,-0.0446978035,0.2539297725
5,0.1526522368,-0.0636512254,0.0635039206,-0.0356999782,0.0264384208,0.2620153328,-0.0925573868,-0.1056986724,-0.0438647108,0.2896805649
6,0.1449034303,-0.0739141277,0.0353927246,-0.0469051850,0.0203334735,0.2482306753,-0.1111220213,-0.0964014641,-0.0334858698,0.2926139554
7,0.1818985081,-0.0525383419,0.0715064898,-0.0156227146,0.0329717882,0.3053497207,-0.0853887385,-0.1040321737,-0.0322152564,0.3667525264
8,0.1181962058,-0.0715726160,0.0471906449,-0.0255424119,0.0161964388,0.2216276811,-0.0733325054,-0.0929802812,-0.0714527315,0.2102867510
9,0.0959241637,-0.0600030970,0.0099933300,-0.0561911363,0.0083381691,0.1699334176,-0.0793947927,-0.0888915571,-0.0480476320,0.1907857804
10,0.1408583276,-0.0867865473,0.0250915473,-0.0367928524,0.0186822933,0.2661349434,-0.0748757359,-0.1144157133,-0.0499286704,0.3058282016
11,0.1692086341,-0.0604645480,0.0628535821,-0.0157532422,0.0350351427,0.3076127160,-0.0992179644,-0.1131054907,-0.0354266331,0.3358188395
12,0.1745350231,-0.0478672907,0.0467419463,-0.0229439199,0.0268662384,0.2574719779,-0.0769974297,-0.0906489700,-0.0337310270,0.3273629160
13,0.1498961386,-0.0733116319,0.0661695982,-0.0364712526,0.0273840685,0.2748399742,-0.0766419649,-0.1103960286,-0.0297072963,0.3296626243
14,0.1408783807,-0.0778276172,0.0565250972,-0.0177731671,0.0280305336,0.2851984128,-0.1019620798,-0.1042600477,-0.0554507937,0.3237345362
15,0.1487800311,-0.0625274204,0.0745008257,-0.0308654952,0.0285695007,0.2532898356,-0.1049294597,-0.0998372395,-0.0330797845,0.3337786392
16,0.1667271076,-0.0791785975,0.0546951650,-0.0331747096,0.0271173717,0.3061176138,-0.1134331079,-0.1265339423,-0.0512160278,0.3274250323
17,0.1350516926,-0.0704898841,0.0369017239,-0.0494170780,0.0176609684,0.2341811165,-0.0822638608,-0.1075797474,-0.0250290805,0.2788487025
18,0.1630597676,-0.0693585138,0.0885903821,0.0039304944,0.0338236105,0.2974397085,-0.0738720438,-0.0748414508,-0.0348010746,0.3312726523
19,0.1501990541,-0.0908954323,0.0381561772,-0.0265566460,0.0213085947,0.2600096675,-0.1043376571,-0.1060577392,-0.0621930998,0.3012990954
20,0.1385431692,-0.0878865748,0.0506212931,-0.0588259591,0.0108871824,0.2364073841,-0.1046553623,-0.1231969351,-0.0667955444,0.2725710013
21,0.0952654748,-0.0853788555,0.0060062889,-0.0657002300,0.0029501257,0.2019873846,-0.1035015140,-0.0908167399,-0.0666459898,0.2178515028
22,0.1415936969,-0.0676262890,0.0360837648,-0.0398776492,0.0195485345,0.2585737278,-0.1088096152,-0.1038848550,-0.0363682237,0.2896186346
23,0.1595354331,-0.0791471051,0.0519836091,-0.0185610537,0.0287818246,0.3061197317,-0.1037383304,-0.0966790260,-0.0228513232,0.3371699146
24,0.1047411585,-0.0816959705,0.0289663547,-0.0207197074,0.0209025382,0.2086991759,-0.0166088571,-0.0778363242,0.0004432547,0.2394989026
25,0.1588146943,-0.0740823704,0.0579928799,-0.0232801028,0.0212094108,0.2835145790,-0.0952782720,-0.1346904038,-0.0738928116,0.3053095218
26,0.0897642298,-0.0547138957,0.0470606713,-0.0324904456,0.0162444125,0.1682696269,-0.0644776011,-0.0839014235,-0.0290540127,0.2292499020
27,0.0943392107,-0.0444252783,0.0749463776,-0.0452975479,0.0154953709,0.2540582318,-0.0227874487,-0.0966775782,-0.0258015685,0.3008666198
28,0.1209014041,-0.0464684915,0.0668930332,-0.0161326225,0.0281525766,0.2187257609,-0.0654607671,-0.0607409361,-0.0189692704,0.2846718263
29,0.1368484267,-0.0809775607,0.0518734887,-0.0574228178,0.0218518131,0.2789942854,-0.1087168820,-0.0977397740,-0.0288320805,0.3159015972
30,0.1505162990,-0.0867756302,0.0478610210,-0.0250961690,0.0283429471,0.2830969301,-0.1074604496,-0.1059776702,-0.0371440226,0.3351219843
31,0.1247120215,-0.0696238229,0.0291845347,-0.0458442627,0.0162953454,0.2276806366,-0.1075787886,-0.1144900970,-0.0421552406,0.2903984251
32,0.0695505334,-0.0409087505,0.0164401250,-0.0935953797,-0.0081329963,0.2878042475,-0.1395394693,-0.1145001552,-0.0768475941,0.2421236158
33,0.1820043430,-0.0348757720,0.0719154801,0.0158548821,0.0398842836,0.2844856555,-0.0379827221,-0.0606022950,0.0048314003,0.6364463591
34,0.0865842256,-0.0660592619,0.0327929937,-0.0265483343,0.0181356500,0.1870438445,-0.0704263764,-0.0780983410,-0.0531339145,0.2088328574
35,0.1501354386,-0.0915499568,0.0479091248,-0.0349834964,0.0212958855,0.2529870689,-0.0872236303,-0.1094400133,-0.0435029418,0.3036029792
36,0.1476461255,-0.0699513150,0.0514669671,-0.0377421816,0.0212500229,0.2534755924,-0.1071198948,-0.0978441382,-0.0105671373,0.2980218993
37,0.1535428076,-0.0771672578,0.0491926103,0.0161315081,0.0238889276,0.2506162633,-0.0373528260,-0.0814812948,-0.0011752696,0.2534101895
38,0.1644795179,-0.0871439582,0.0637938139,-0.0170305774,0.0322609606,0.2846804689,-0.0847525476,-0.0962392392,-0.0427715567,0.3640112090
39,0.1574707870,-0.0962647512,0.0525950521,-0.0517422817,0.0198834094,0.2696507801,-0.1248600609,-0.1086964009,-0.0422167558,0.3200714693
40,0.1245668444,-0.0742837139,0.0569693229,-0.0559642373,0.0230822594,0.2553225497,-0.0910126575,-0.0917103423,-0.0575870981,0.2929908423
41,0.1284487579,-0.0574117857,0.0653408382,-0.0154033990,0.0245427864,0.2172444940,-0.0697387958,-0.0703975441,-0.0240557684,0.2501277289
42,0.1526987774,-0.0593361978,0.0758668625,-0.0102114855,0.0330743354,0.2952011561,-0.0749281951,-0.0935065644,-0.0175047613,0.3480446293
43,0.1430952612,-0.0737246772,0.0532894035,-0.0237155307,0.0264459652,0.2312763913,-0.0835832607,-0.0853766863,-0.0430838934,0.2699383246
44,0.0837978697,-0.0726764845,0.0085360376,-0.0549097229,0.0049331074,0.2095053309,-0.0568906887,-0.0911714648,-0.0562199176,0.2452931695
45,0.1354913102,-0.1004973252,0.0232784379,-0.0250630510,0.0103760320,0.2061269984,-0.0885132024,-0.0983780902,-0.0478157352,0.2746083541
46,0.1478310673,-0.0745972262,0.0501808127,-0.0356113651,0.0265151453,0.2836703944,-0.1091441147,-0.1180169360,-0.0326655052,0.2972238015
47,0.1361397550,-0.0667778916,0.0457389708,-0.0328202911,0.0210295488,0.2294620145,-0.1042146458,-0.0744494255,-0.0403144253,0.2824347449
48,0.1504244687,-0.0681133973,0.0458987033,-0.0452584698,0.0260532130,0.2392759900,-0.1114650598,-0.0874889487,-0.0329827423,0.2979939211
49,0.1161068277,-0.0717764740,0.0091363579,-0.0504033939,0.0137251901,0.2227622378,-0.0836105309,-0.1062188605,-0.0481177881,0.2460520492
50,0.1602431189,-0.0758094307,0.0452725557,-0.0227693529,0.0230645472,0.2436823382,-0.0506308715,-0.1055664730,-0.0238578306,0.2882574360
51,0.1896022200,-0.0054370360,0.0495208820,-0.0530782694,0.0301956629,0.2663433586,-0.0896900557,-0.1334978100,-0.0650025815,0.3311175769
52,0.1312123320,-0.0697978045,0.0417239177,-0.0273203363,0.0278366342,0.2501056813,-0.1016669620,-0.0973472854,-0.0257924098,0.2847950939
53,0.1159101644,-0.0854874827,0.0458784458,-0.0438609390,0.0223034982,0.2452954164,-0.1183728748,-0.0818793775,-0.0478164344,0.2782211970
54,0.0462720822,-0.0268446881,-0.0007965894,-0.0504790957,0.0006173586,0.1363534671,-0.0764522550,-0.0889342521,-0.0460550283,0.1718239579
55,0.1044648054,-0.0716831651,0.0380090030,-0.0548722510,0.0134913828,0.2012211185,-0.1124174992,-0.0819326786,-0.0351784132,0.2369634038
56,0.0813165569,-0.0592083421,0.0311949525,-0.0396731040,0.0131347900,0.1712758249,-0.0716694431,-0.0682525664,-0.0546987408,0.1985366528
57,0.1629178186,-0.0976943849,0.0525598706,-0.0537362307,0.0270654274,0.2801500868,-0.0817530156,-0.1277266073,-0.0324308919,0.3288376213
58,0.0795875385,-0.0245014296,0.0282087081,-0.0793720851,0.0132764441,0.1813882336,-0.0270654584,-0.0447543977,-0.0499359627,0.1834527929
59,0.0610372964,-0.0526799317,0.0434653555,-0.0416916058,0.0043264706,0.1660029996,-0.0741445280,-0.0876712547,-0.0495183840,0.1061963841
60,0.1570661436,-0.0770876870,0.0424434563,-0.0345724445,0.0272801795,0.2833408178,-0.0925624099,-0.1043950730,-0.0358539388,0.3170746168
61,0.1331345972,-0.0435989857,0.0668776022,-0.0130840664,0.0271995443,0.2399355763,-0.0647049127,-0.0807093703,-0.0308066783,0.2941462935
62,0.1124488547,-0.0613372040,0.0344246600,-0.0659460412,0.0176773268,0.2201701428,-0.0990224534,-0.0868312829,-0.0346858742,0.2620959325
63,0.1221306937,-0.0448552913,0.0705931152,-0.0189164879,0.0302317860,0.2555890643,-0.0701108108,-0.0843815683,-0.0288696591,0.3018617111
64,0.1010903155,-0.0817990745,0.0425689636,-0.0698019669,0.0135303818,0.2204551257,-0.0698694080,-0.1057293646,-0.0358509014,0.2344924646
65,0.1411009844,-0.0752859831,0.0618797900,-0.0310371833,0.0265027531,0.2554184521,-0.0826755902,-0.0945744127,-0.0417560118,0.3183408207
66,0.1413844945,-0.0647787050,0.0563957324,-0.0552106878,0.0222587601,0.2159323080,-0.0854372569,-0.0955852027,-0.0214297004,0.2566003128
67,0.1728287863,-0.0693582236,0.0502751025,-0.0305637560,0.0274962392,0.2941381022,-0.0910346511,-0.1111652586,-0.0443958754,0.3147666428
68,0.0703858066,-0.0949617131,0.0226528613,-0.0664729228,0.0089144043,0.2738519465,-0.0767222416,-0.0959133279,-0.0607676460,0.2755652031
69,0.1229915322,-0.0791055518,0.0767137810,-0.0262097461,0.0249873372,0.2599287730,-0.0782609618,-0.0766937034,-0.0204967466,0.2767271207
70,0.1094817563,-0.0766978145,0.0450576912,-0.0569252736,0.0182169711,0.1985965758,-0.0697560230,-0.0857349528,-0.0321509056,0.2355246545
71,0.1211942782,-0.0769796387,0.0748009843,-0.0338682894,0.0244933003,0.2056344358,-0.0758948586,-0.0769132065,-0.0102872925,0.2484953837
72,0.1510956750,-0.0802893426,0.0581529906,-0.0298549643,0.0292266208,0.2650018494,-0.1035842909,-0.0875607717,-0.0392081656,0.3115643308
73,0.0921495106,-0.0926163643,0.0237756079,-0.0568104058,0.0074683155,0.2292551457,-0.1019405814,-0.0998613198,-0.0325731643,0.2629077710
74,0.1450300923,-0.0757216943,0.0519265236,-0.0327614918,0.0233310955,0.2707258782,-0.0953277480,-0.0995047516,-0.0420203059,0.2924502974
75,0.1356450998,-0.0835304341,0.0279065492,-0.0363023693,0.0180939206,0.2529009762,-0.0944973440,-0.1137041567,-0.0392880052,0.2618480734
76,0.1320404185,-0.0527086194,0.0582473752,-0.0054896715,0.0314869093,0.2227863730,-0.0783227539,-0.0862170907,-0.0314117318,0.3808582369
77,0.1604310785,-0.0520592040,0.0616294480,0.0005795667,0.0330239217,0.2476509916,-0.0752691452,-0.0970245882,-0.0016446872,0.2750977243
78,0.0622780377,-0.0660026627,0.0033389783,-0.0954813051,-0.0027934029,0.2376205712,-0.0981625688,-0.0953979088,-0.0802690257,0.2237660210
