,security,conformity,tradition,benevolence,universalism,self-direction,stimulation,hedonism,achievement,power
0,0.5018226887,-0.3726192563,0.2761175533,-0.0945262293,0.1095689131,1.4448201574,-0.2113521761,-0.4134670845,0.0247646760,1.5915614201
1,0.5538690903,-0.0774413272,-0.0269482998,-0.0033659639,0.1163767316,1.0308304383,0.0440093818,-0.1534252772,0.0232103144,1.0185997458
2,0.3546252257,-0.2066232345,0.3785960824,-0.0956143637,0.1109849924,0.8002995086,-0.1085912888,-0.1984719567,-0.1011047447,1.0273676201
3,0.5402208008,-0.2215598281,0.2278360759,-0.0656940676,0.0747265561,0.6758580947,-0.2090170841,-0.1465486066,-0.1765516075,0.6969425915
4,0.7485821848,-0.2701090225,0.2344658701,-0.2032339798,0.0424345527,0.8982066589,-0.4468342112,-0.3970097818,-0.2194916270,1.2814739518
5,0.5885515836,-0.1669107820,0.2443351528,-0.0416947706,0.1213268845,0.9673028619,-0.2269163937,-0.2841405798,-0.0785391977,1.0493229837
6,0.5985736549,-0.1812101374,0.1881889103,-0.0785908111,0.1122872344,1.0043331188,-0.2861368676,-0.2813310031,-0.0933886187,1.1528687582
7,0.7983680749,-0.1379351555,0.3208183600,0.0863053409,0.1787923957,1.3010112333,-0.1786893598,-0.2933049936,-0.0148730395,1.5552048415
8,0.7041072330,-0.2600788571,0.0273910799,-0.0202839414,0.1258512603,1.1096748737,-0.3506707490,-0.3479521472,-0.2928179403,1.1311949470
9,0.5614884076,-0.2152218944,0.0421736470,-0.2035361756,0.0670989564,0.7082676650,-0.2827240540,-0.3452098310,-0.2000273369,0.9742251225
10,0.7594309337,-0.3796077386,0.0937573626,-0.0490219800,0.1281637763,1.3178732278,-0.2640982389,-0.4374024939,-0.1913691864,1.5830416485
11,0.8154715950,-0.1277827305,0.2994110116,0.1027171302,0.1992702628,1.4163405777,-0.2711073426,-0.3516225347,0.0430232779,1.4942470796
12,0.8102698194,-0.0733607340,0.1984495096,0.0092885889,0.1443946234,1.0257078805,-0.1228820934,-0.2122900876,-0.1057585978,1.3011445108
13,0.5424264843,-0.2123011661,0.2265043921,-0.0131117061,0.1244045502,0.9849295543,-0.2175490845,-0.3029777969,-0.0276088741,1.1482039807
14,0.7320537100,-0.2759018442,0.2384362975,-0.0008168800,0.1851449255,1.3613657910,-0.3568374063,-0.3130067514,-0.1551926877,1.5163110936
15,0.6027256452,-0.1967340972,0.2799965221,0.0232607801,0.1393588734,0.9616465492,-0.2558599544,-0.2394380437,-0.0406559552,1.3659972604
16,0.7265245900,-0.2342758592,0.2367496832,0.0149787872,0.1474607728,1.2738141180,-0.3374222949,-0.4037091932,-0.0997811889,1.3579609869
17,0.5304351344,-0.2261900265,0.1281940669,-0.0984184491,0.0847366970,0.9222610764,-0.2594577045,-0.3251060907,-0.0841141455,1.0510765628
18,0.6830223043,-0.1797199905,0.4563273328,0.0605464007,0.1741114953,1.2780686564,-0.2812756501,-0.2067029456,-0.0464434216,1.4187089414
19,0.7435380681,-0.3861357764,0.1673101109,-0.0445473109,0.1254102167,1.1719389180,-0.3801392548,-0.3679438988,-0.2149580367,1.4502063865
20,0.6896042092,-0.3588602167,0.2567174285,-0.1883062845,0.0807296067,1.1876911882,-0.4300270735,-0.4847336768,-0.2778474904,1.2958650132
21,0.6173598160,-0.5179044594,0.1155714044,-0.2236749419,0.0567506692,0.9512460342,-0.4749381729,-0.3723957780,-0.3430672081,1.2455959072
22,0.6799237162,-0.2422372823,0.2098259283,-0.0643631372,0.1151759334,1.0659297798,-0.3624206109,-0.3507280525,-0.1010785285,1.2847220891
23,0.7178112669,-0.2252235172,0.2724050599,0.0714901727,0.1529543650,1.2860417456,-0.3153282302,-0.2857471587,-0.0019857753,1.4911952533
24,0.4514641976,-0.3195800233,0.2658265996,-0.0550894246,0.1172186390,0.7949208431,0.0545614248,-0.2095684575,0.0797263240,0.9719180917
25,0.8786884383,-0.2765277559,0.3256140174,0.0586964488,0.1565052743,1.4802407370,-0.4376494860,-0.5177524793,-0.1782509539,1.6438321803
26,0.2141294468,-0.1127130046,0.1186935117,-0.1395541613,0.0620739254,0.5865096719,-0.2413311985,-0.2270045109,-0.0702718660,0.6427495197
27,0.3845444687,-0.1560598208,0.4070830464,-0.1296940848,0.1047992614,1.0714638882,-0.0818453069,-0.3159388812,0.0574820868,1.3596993492
28,0.2867654706,-0.0830389965,0.2273966750,-0.0187785284,0.0884653436,0.6703070126,-0.2013550138,-0.0398962884,-0.1079466075,0.8646824409
29,0.4472781096,-0.2503248421,0.2769632313,-0.1945905282,0.1207404526,1.0845391923,-0.3580929626,-0.3328562198,0.0013964091,1.1880965322
30,0.6711888456,-0.2753125175,0.1695985464,-0.0339496898,0.1469716727,1.1724276548,-0.2898887335,-0.2982452793,-0.0688201417,1.3622756747
31,0.5670352628,-0.2651726657,0.1290797944,-0.1420101994,0.0847194629,0.8830240944,-0.3847599435,-0.3629378144,-0.1983455925,1.2544046680
32,0.3632965904,-0.0728672531,0.0243135296,-0.1887358270,0.0176900331,0.9334129840,-0.3646269377,-0.3439743890,-0.3299249414,0.9175895448
33,0.7223998660,-0.0122781205,0.3351957261,0.1977432488,0.1908815988,1.1122731032,0.0266720542,-0.0208619690,0.1251103354,2.4535602942
34,0.4639189983,-0.1858425646,0.1902132165,-0.0229893016,0.1136350276,0.7886092853,-0.2110124409,-0.2233333305,-0.1184995159,0.9666371938
35,0.7987537725,-0.3587216094,0.2720476647,-0.1360456610,0.1273336473,1.1209849017,-0.4073563295,-0.4424434147,-0.1056304369,1.5903627199
