,security,conformity,tradition,benevolence,universalism,self-direction,stimulation,hedonism,achievement,power
0,6.3352402900,3.2743579561,5.4118804680,4.0026537449,2.0543840904,1.4537428088,4.6544264286,4.1469268129,5.4007170801,7.1283266298
1,5.3564203715,3.4096561179,5.2336773595,3.8935458649,2.6280189621,1.9197437929,4.9249884388,3.8455168839,4.4354343951,5.8944319093
2,5.1285070215,3.5125357947,5.6481001788,3.8652077515,2.3613848503,1.4460534118,3.8505013100,3.5994402125,4.2220846086,5.4707848369
3,4.7454843263,3.1577706402,5.0393731294,3.7195119162,2.4490214083,1.7583544816,4.1237585305,4.1779418813,3.6459528075,5.1860720983
4,6.3544709466,3.7462538931,5.2815796695,3.3344422628,2.1857925485,2.3617968866,4.5905760089,3.9576833883,5.3689843084,7.7371853110
5,4.9651024631,3.0728047748,4.9853555104,3.5976055464,2.1698379491,1.6633228532,3.8140719009,3.1933957223,4.1242967814,5.1244375399
6,5.1280081203,3.2133742284,4.3618054803,3.0213790404,2.1363228927,1.6244898173,4.1091553075,2.6843358037,4.1592227932,5.5046332428
7,5.9175610470,3.8740387124,5.4458033970,4.0423134618,2.6793264094,2.0501325920,4.6079274286,3.5334002458,5.1177092709,6.5983391931
8,5.7438289018,3.4193013277,6.5337034096,4.9366458951,2.7108596894,1.7947892872,5.0527160033,4.7997836030,5.1396446246,6.7247150451
9,4.8755610251,2.8139896910,4.7501769181,3.6436075057,2.4677802807,1.5839729263,3.3189721491,3.4796462056,3.6485112778,4.6859600078
10,6.0497453391,3.7037419628,5.9917966931,4.4960076801,2.7272976336,1.9544778503,5.2044585312,4.3702805255,5.3291820720,6.6658714003
11,6.5815904949,4.5623667673,6.5014499054,5.3013404327,3.4295762276,2.4764049852,5.2231700605,4.0560791071,5.8655727085,7.1057231174
12,5.5015388174,3.2003551325,5.2507660101,3.9537052565,2.2197142709,1.7011254717,4.2743820793,3.9163520532,4.6707690498,6.0068886405
13,5.3911268844,3.4365946785,5.1913089114,3.3809737318,2.2268857755,1.6916236570,4.0387433365,3.2275200647,4.2956587550,5.6185660513
14,6.2875592573,4.2441248676,6.6979267492,5.4896380013,3.2635981794,2.4154750671,5.7469303238,4.5469095595,5.7336875920,7.0968666550
15,5.0363989612,3.3910689343,4.9845262943,3.6822926784,2.3037025416,1.6237264354,3.5215046433,2.7060449341,4.3445810099,5.5302995788
16,6.0293644656,3.9614565372,5.4372926837,4.0969581206,2.6313003370,1.9949419145,4.6207464435,3.2269380585,5.3088567724,6.5901023632
17,5.0607968863,3.2184749304,4.6617003186,3.2933895260,2.0825439588,1.5215209470,3.9855457719,3.0607816583,4.2027296988,5.4373398491
18,6.2321589146,4.1403605896,6.2448484527,4.9985214011,2.8317382727,2.0198593406,5.0270912460,4.1407761333,5.5408113807,6.8786098280
19,5.6657912548,3.5774532586,5.4909712859,4.1831629523,2.6387765002,1.8173450119,4.5206088338,3.5848154397,4.8656897604,6.1591936528
20,6.2354791858,3.5369626845,5.9355807957,3.9512707497,2.0915134527,1.5165782452,5.0700522762,3.9105456880,5.4136811619,6.6730759016
21,4.2971424636,2.5009939209,4.9797634794,3.3467142400,2.2308817393,1.4076927834,3.0114635905,3.6271043252,3.0971973627,4.5061353974
22,5.1596107516,3.1578185750,5.0234449419,3.3409509210,2.1063871990,1.5569909329,3.8892766493,2.9665481994,4.2760453537,5.6815230181
23,6.3144414336,4.3092757736,5.8319109700,4.3078490721,2.9590549190,2.2775694407,4.8915547987,3.2967562228,5.7450134056,6.9210298626
24,4.8521316588,2.8636903349,4.5655889305,2.8602027047,1.7186286886,1.1455537988,4.5128938300,3.5122887991,3.8622619993,5.4476188418
25,6.2365622831,3.5093005805,6.1796190125,4.3578041596,2.5704931341,2.0015767134,4.8060281831,4.0958525871,5.4815714268,6.7053104999
26,4.5519188592,2.7629416514,4.5797010271,3.1614756801,1.9433917864,1.2115938290,3.3359829370,2.8999073283,3.5024461031,5.2024729183
27,6.4113500915,4.1395681797,6.2704354994,3.9555247989,2.2617443881,1.5238972946,5.0232371694,3.7052904461,5.4707228095,6.8111697299
28,4.1048537500,3.0554320022,5.2756153585,3.7143827729,2.2462679409,1.8143058400,3.3214192480,3.3121205797,3.7998980695,4.8314298767
29,5.8653806514,3.5989576180,5.7896262205,4.2187014672,2.7570645456,1.8145392997,4.4657434342,3.7350621651,4.9211746131,6.0464246576
30,5.9296917076,3.7634280832,5.7104904038,4.3843898001,2.7990589538,1.9310420471,4.8029189591,3.6722702646,5.0602685762,6.4380610016
31,4.9938972169,2.7578257266,4.7163044550,3.0684516327,1.8392158416,1.5410831364,3.9444445227,3.1812020407,4.2243147441,5.7795652240
32,3.9322782042,2.2147061410,2.8700408858,1.7520763461,0.8670248148,0.4044248639,2.9088218318,1.6330468556,2.9297690372,4.2512570368
