,security,conformity,tradition,benevolence,universalism,self-direction,stimulation,hedonism,achievement,power
0,1.4218057499,0.8162706435,1.2183929013,0.8765897484,0.4726528753,0.3428923058,1.0406735846,0.8630404953,1.2189694834,1.5854534052
1,1.5940507211,1.0332955139,1.5403181165,1.0745200644,0.7088902945,0.4957947671,1.3729028447,0.9911962665,1.3668645798,1.7328676922
2,1.4958714604,1.0359365908,1.5207654184,1.0117112080,0.6252327756,0.4037820693,1.0826003100,0.8649067810,1.2592809717,1.5913844278
3,1.2674767799,0.8714569686,1.2391443047,0.8801685359,0.5585617915,0.3949796720,0.9924919267,0.8380885515,1.0458097840,1.3777959853
4,1.5405487201,0.9319785605,1.3078942632,0.8227164274,0.5385896154,0.5378951703,1.0972058270,0.9238099798,1.3044042556,1.8368995077
5,1.5454827506,0.9926747551,1.4687790704,1.0186461318,0.6437660293,0.4863259067,1.1726092195,0.8868945932,1.3121130213,1.6314603366
6,1.5140796494,0.9579354089,1.2755428851,0.8673218185,0.5995779941,0.4468304843,1.1169848489,0.7402396368,1.2384517816,1.6047764154
7,1.6741195959,1.0982726719,1.4930644559,1.0639829135,0.7027275553,0.5411775906,1.2840299346,0.9340269397,1.4283112531,1.8403035677
8,1.3197039889,0.8255342410,1.3555611215,1.0256216215,0.5857090799,0.4321417142,1.1267716135,0.9488944057,1.1588446225,1.5141375553
9,1.1930186233,0.7051344324,1.0921061919,0.7841449255,0.5154549040,0.3359896831,0.8159645565,0.7172453728,0.9231822771,1.1879136899
10,1.4053827787,0.8867088456,1.3367624316,0.9831884819,0.5951508167,0.4305824727,1.1543087075,0.8975290245,1.2411989727,1.5453339207
11,1.7039062905,1.1757629500,1.6391771269,1.3051408446,0.8533013825,0.6184405845,1.3426524172,1.0075664289,1.5170833618,1.8503363949
12,1.4785274807,0.9200901190,1.3874861068,1.0063643641,0.5603824248,0.4454346472,1.1339472201,0.9450059279,1.3165345552,1.6315918830
13,1.7034603726,1.1553757143,1.5877158432,1.0456384157,0.6905190865,0.4979575545,1.2544154627,0.9119212158,1.4295981944,1.8101840603
14,1.5237075368,1.0299828985,1.5627000671,1.2408164705,0.7386264455,0.5648901689,1.3266110593,1.0231987944,1.3891000996,1.7155525661
15,1.4941861529,1.0362403357,1.4548709225,1.0324830906,0.6515360031,0.4728620315,1.0549267760,0.7916956223,1.3036747629,1.6298941874
16,1.7206261836,1.1471693570,1.5129048259,1.1178101132,0.7221543744,0.5598336334,1.3086156024,0.9047607466,1.5026032068,1.8719301979
17,1.4291219827,0.9632590189,1.2842438120,0.8686395866,0.5600659891,0.3755012046,1.0794702579,0.7390535261,1.2160875823,1.5513558946
18,1.6774240541,1.1675719500,1.6047808309,1.2491132222,0.7336518631,0.5323812845,1.3242258704,1.0152651339,1.4835899204,1.8493676392
19,1.4648947763,0.9447399481,1.3522249203,0.9912885976,0.6271438891,0.4480195031,1.1259787511,0.8102048560,1.2872528323,1.5818886127
20,1.4746224445,0.8645230344,1.3615290998,0.8970497098,0.4891218195,0.3616538351,1.1537732630,0.8582854942,1.2792625256,1.5771958390
21,0.9754063810,0.5715748431,0.9750678616,0.6438387050,0.3958219966,0.2381659316,0.6691368983,0.6467619304,0.7369884528,1.0168410068
22,1.4290124506,0.9090764497,1.3176716033,0.8789240482,0.5703024994,0.4032616835,1.0526011409,0.7476406877,1.1985943954,1.5496567850
23,1.7737060933,1.2285520545,1.6253064388,1.1736505625,0.8204968841,0.6105449761,1.3288370576,0.8994346772,1.6168256767,1.9267196965
24,1.3120760832,0.8195041504,1.1612672399,0.7428287984,0.4531750051,0.3108963388,1.1289705455,0.7796152863,1.0909200428,1.4536262348
25,1.4137308985,0.8105688965,1.3517246171,0.9542475264,0.5535579962,0.4517959905,1.0805100165,0.8738474419,1.2368464035,1.5333066389
26,1.3640934475,0.8752548676,1.2843414260,0.8319220875,0.5172857569,0.3479824407,0.9721407528,0.7281913108,1.1189168298,1.5266671514
27,1.7018836321,1.1186121567,1.6906410352,1.0349660471,0.5918778824,0.3688213018,1.2958923273,0.9516023433,1.4726315637,1.8432271009
28,1.4469166635,1.0827945912,1.5694644639,1.0644591725,0.6556727283,0.5019859746,1.1058767291,0.8914208733,1.3341287052,1.6405888726
29,1.6888917897,1.1007519206,1.6094919714,1.1383010636,0.7871534875,0.5033230021,1.2564195528,0.9620232526,1.4344670247,1.7800595854
30,1.6750877422,1.0859698004,1.5406908553,1.1563193326,0.7424914017,0.5332825198,1.3216760207,0.9568628469,1.4206543374,1.8171800464
31,1.3858242035,0.8403617383,1.2802433140,0.8298824605,0.5136840443,0.4127416763,1.0577279437,0.7924146319,1.2078485167,1.5795791881
32,1.1081212100,0.6098867225,0.7905804774,0.4733751203,0.2159283702,0.0616174987,0.7677541704,0.4215061383,0.8218366833,1.1762227640
33,1.8112074313,1.3123899740,1.5163554578,1.2002687826,0.7471443510,0.7230125045,1.4979707782,0.9230857358,1.5000357872,2.4740575836
34,1.2773488289,0.8272437535,1.3571406595,0.9117409757,0.5545376192,0.3789327522,0.9883732388,0.8905245435,1.0815345260,1.3599523309
35,1.5217587053,0.9665108560,1.4273313506,0.9709956440,0.6698703433,0.4350349471,1.0867432665,0.8292732836,1.2972519132,1.6058905146
36,1.6937188397,1.0660605827,1.4295498046,0.9599925495,0.6432825957,0.4076179649,1.1430323098,0.7919330635,1.3594738320,1.7605347372
37,1.3969407532,0.8932967314,1.4204455163,0.9954080439,0.5731757819,0.4477100868,1.0916191565,0.8734850809,1.2633479383,1.5324284116
38,1.6705712810,1.1642350629,1.6054118874,1.1711611341,0.7444966402,0.5489625336,1.2610678845,0.9218364509,1.4300612527,1.8445239013
39,1.6007345889,1.0387572336,1.4471670944,1.0549336024,0.6634762111,0.4372698334,1.2147078827,0.8912845524,1.3389838823,1.7233415168
40,1.4577564921,0.9581075002,1.4484578582,1.0749309272,0.5838219267,0.4711799291,1.1628997384,0.9182207956,1.2505601944,1.6088528246
41,1.5550633549,1.1252716462,1.4207577960,1.0385338718,0.6795795733,0.4999507450,1.2464587666,0.8499589822,1.2882012329,1.6342786084
42,1.7385135029,1.2162015003,1.6426029494,1.1832153988,0.7934098588,0.5187621765,1.3787563135,0.9626213430,1.5224819290,1.9222708249
43,1.4988357503,0.9765693853,1.5286973205,1.0457679372,0.6323101183,0.4764647664,1.1273323053,0.9613785818,1.2243685600,1.5153455525
44,1.0845162068,0.6577361130,0.8790820143,0.6543963322,0.4716325460,0.3253967705,0.7502147383,0.5908002531,0.8070133507,1.1385927329
45,1.2886246205,0.8208295081,1.2374562655,0.8484325081,0.4974853505,0.4100646107,1.0670137289,0.8340505288,1.0776825276,1.4737944225
46,1.6181618963,1.0499216305,1.4627129789,1.0878612900,0.7527924550,0.5556467816,1.3032094088,0.9623910656,1.3810646814,1.7357918180
47,1.5114593404,0.9936291839,1.4855317542,1.0581590382,0.6957120337,0.4712466658,1.1685559583,0.8966051313,1.3267512926,1.6430326991
