,security,conformity,tradition,benevolence,universalism,self-direction,stimulation,hedonism,achievement,power
0,1.0869909617,0.8318536700,1.3734075019,1.2385072515,0.9859247863,1.3242283370,1.1170488516,1.5356682343,0.9430653928,1.2710952141
1,0.9286951708,0.8473316036,1.1624064725,1.2588368746,1.2552624361,1.2867619600,1.4788043046,1.7082222713,0.8272377093,0.9105912154
2,0.7940491155,0.7009548593,1.2570405493,1.0985710849,0.9664238605,0.9087448083,0.7211632646,1.1198416180,0.7156157388,0.7828261474
3,0.9313520141,1.0415821099,1.2892913434,1.3367958125,1.3009544750,1.0992538427,1.1406213557,1.7966499598,0.7133086927,0.8951479736
4,0.8391549063,0.7793920185,0.8838158963,1.0471135322,0.7603433444,1.1032381902,0.8591764396,1.1604879424,0.9428615144,1.1606518442
5,0.8276460124,0.7037734305,0.9498577656,1.0936475405,0.8844198570,1.0141676018,0.9248437551,1.0471797615,0.7349435879,0.7231111006
6,0.8759965899,0.8521838097,0.8717753974,0.8782986485,0.8289176576,0.8965625687,0.9259251305,0.9279732163,0.7922206220,0.8830364246
7,0.9191383232,0.9685064129,1.1186775078,1.0575614042,1.0443154153,1.1733079362,1.0466934313,1.0808396797,0.9892007737,1.0587477065
8,1.0660947856,0.9897439818,1.5159884328,1.4298803938,1.2100271722,1.4000027988,1.3519567670,1.7727560692,1.0877573400,1.2433141060
9,0.8829857050,0.8742840190,1.3162871235,1.1823253444,1.1660448202,1.0697136049,1.0077883345,1.1264861707,0.8220979600,0.7620736148
10,0.9085241679,0.8632583826,1.3327589918,1.2224777541,1.1674801645,1.2371255074,1.2434142417,1.4941450161,0.9566522646,0.8944679426
11,0.9105567965,1.1298122259,1.2181585674,1.3396518630,1.3101449484,1.2431104133,1.0602376877,1.1808117127,1.0203862385,0.9283310571
12,0.7942098656,0.7740783201,1.0376166489,1.0319973485,0.9039471947,1.0005870956,0.9504674076,1.2651145592,0.6048131135,0.8749994735
13,0.7334199339,0.5723629124,0.8266541378,0.7993790538,0.6604744874,0.8270677545,0.6836816061,0.8433279580,0.6380360189,0.7376525892
14,0.8762716623,1.0727748250,1.4928829570,1.6311402670,1.4145147797,1.3325684226,1.2152985194,1.5618683855,0.9791908087,0.9538719250
15,0.7623944834,0.7363870218,1.0245245636,1.0938237791,1.0119838402,0.9474346153,0.7504970247,0.9116106415,0.7705349678,0.8274572590
16,0.8616430805,0.8606128289,0.9541048741,0.9867093756,0.9606072672,1.1126045422,0.9309985852,0.8294442446,0.9794153064,0.9169261814
17,0.8929191595,0.8964697996,1.1576514555,1.0909844582,1.1301284008,1.1652330570,1.0624289021,1.2281439396,0.8298315436,0.8842456883
18,0.9452351307,0.9282606114,1.4276466888,1.3177824382,1.1111207333,1.2526511464,1.0589701555,1.3386267535,1.0716990472,0.9443670379
19,0.7179135502,0.7621061857,1.1163449976,1.0287703149,0.9989030706,1.1320641071,1.0442025087,1.1408995910,0.8476620577,0.8563631985
20,0.9030484993,0.7655557827,1.1360004913,0.9823346390,0.8351331840,1.0082465423,0.9926061672,1.0877883968,0.8723558717,0.8213810667
21,0.8568162755,1.0004055907,1.4673683014,1.2293052675,1.4475848803,1.0524515694,1.2225903578,1.8760852489,0.4585629241,0.7922813308
22,0.7945176434,0.8191075598,1.0919663106,0.9231334381,1.0023924117,1.0142510150,0.9431761547,0.9977223347,0.7368111186,0.8091221952
23,0.8419983141,0.8034412282,1.0191675321,1.0223597137,0.9291997727,1.0824667787,0.9000419931,0.8892049600,0.9838075279,0.9288437667
24,0.9042560661,0.8275090771,1.4835931469,1.2114341560,0.9667576934,0.9645092487,1.2924793285,1.5805843100,0.8247148087,0.9058561513
25,0.9625102351,0.8907277493,1.1757266906,1.0699918969,1.0800046059,1.2149122326,0.9398453841,1.0551089491,0.8658507255,0.9240627123
26,0.7660643619,0.6745756177,1.0356706388,0.9563568755,0.9648484154,0.7996020650,0.7587866084,1.0420817492,0.6347707207,0.9657196942
27,0.8065324969,0.7518684778,0.9141781320,0.7079884250,0.5364979804,0.7759047413,0.6869530977,0.8406810249,0.7891979495,0.8617404811
28,0.7049768919,0.8054506572,1.4011747037,1.1519040285,1.1204363038,0.9690547431,0.7702352571,1.3902118467,0.8214151078,0.7755894214
29,0.9026913803,0.5636602951,1.0676468936,1.1091934846,0.9280735428,1.0719547605,0.7777511919,1.0752308797,0.9114115435,0.8031769284
30,0.8989948523,0.9479122172,1.2757281891,1.3594868595,1.3043275513,1.2477913466,1.0464365237,1.3525454347,0.9544746080,0.9505936480
