,security,conformity,tradition,benevolence,universalism,self-direction,stimulation,hedonism,achievement,power
0,0.2123649210,0.1579805002,0.2607570164,0.2245927676,0.1726417318,0.2457280673,0.2029774004,0.2675086320,0.1775964842,0.2454818441
1,0.2200423873,0.1924752044,0.2348078048,0.2793165821,0.2447374168,0.2912927143,0.3175672338,0.3351057005,0.2207606650,0.2123604149
2,0.2224456967,0.1877514383,0.2791441574,0.2523892626,0.1952658527,0.2315743075,0.1623147202,0.2353156899,0.1992166210,0.2313583422
3,0.2137656686,0.2161282922,0.2396274359,0.2524573218,0.2288086276,0.2293445869,0.2031762090,0.2915169320,0.1798966696,0.2096109096
4,0.1972671439,0.1796979516,0.1990294293,0.2389763199,0.1662457791,0.2538722521,0.1838225586,0.2511911234,0.2175728643,0.2661646123
5,0.2162140106,0.1773802524,0.2168439616,0.2505581294,0.2122292697,0.2534458411,0.2139099690,0.2306834655,0.2110091342,0.2076578890
6,0.2331517663,0.2113178107,0.2165964383,0.2238620202,0.1989288463,0.2350773064,0.2013181153,0.2174345158,0.2154594423,0.2327769681
7,0.2318609942,0.2361379583,0.2542774153,0.2456645226,0.2434306291,0.2821152485,0.2479110427,0.2369656202,0.2519340902,0.2664193457
8,0.2043904221,0.1855441840,0.2673280465,0.2720516982,0.2252553486,0.2660297382,0.2581971048,0.3094247109,0.2007036789,0.2296101873
9,0.1792408618,0.1711043897,0.2385940381,0.2205530714,0.2080466306,0.2125086701,0.1843611724,0.2094603301,0.1734740954,0.1612973752
10,0.2003447282,0.1885238815,0.2622952307,0.2482699708,0.2305764348,0.2552109859,0.2433930069,0.2811661088,0.2140971754,0.2024788451
11,0.2231148979,0.2689123039,0.2840875365,0.3119234192,0.3056319327,0.2985506481,0.2561671727,0.2774171383,0.2575062094,0.2334946064
12,0.1890486262,0.1614150559,0.2205696417,0.2251680470,0.1873496709,0.2250799029,0.1935125616,0.2392904184,0.1671097984,0.2056235022
13,0.2367191574,0.1830570519,0.2232087024,0.2268485277,0.1764837286,0.2420422071,0.1792075117,0.2135585218,0.2131986171,0.2504941026
14,0.1996065053,0.2374791783,0.3136920516,0.3441078589,0.3038275919,0.2964009723,0.2620095923,0.3256897120,0.2250945069,0.2247131864
15,0.2247357542,0.2131273739,0.2627492274,0.2848515922,0.2453237112,0.2598387442,0.1955073712,0.2397982006,0.2246362848,0.2508568091
16,0.2328118470,0.2298580727,0.2320471508,0.2476783683,0.2401607292,0.2814156912,0.2369083110,0.2103722362,0.2578437119,0.2514458485
17,0.2237900232,0.2160905638,0.2593818698,0.2515088181,0.2437269612,0.2726317186,0.2329708523,0.2537874106,0.2255673064,0.2329136353
18,0.2350580486,0.2286485818,0.3071571249,0.2904832038,0.2398081100,0.2880570428,0.2343448342,0.2806750941,0.2438609783,0.2406282327
19,0.1878246910,0.1778925405,0.2152749625,0.2194457815,0.2073435024,0.2444122801,0.2153961113,0.2072221196,0.2127042803,0.2089209390
20,0.2102894222,0.1713707614,0.2261251760,0.2027767410,0.1681714901,0.2216411849,0.2060924651,0.2101382400,0.2024113047,0.2032880220
21,0.1708426498,0.1837224781,0.2382405373,0.2101090387,0.2305688741,0.1920772062,0.2054923951,0.2902021454,0.1078139953,0.1585032965
22,0.2037547769,0.1976841198,0.2391829616,0.2154458597,0.2193630606,0.2397703558,0.2123939161,0.2116053292,0.1986933969,0.2088647313
23,0.2432889065,0.2261426003,0.2661390602,0.2741588139,0.2408315207,0.2879682308,0.2240679962,0.2259604997,0.2784380700,0.2644743924
24,0.1933328668,0.1593148554,0.2698018832,0.2238294875,0.1719829087,0.1963396112,0.2404801360,0.2842121449,0.1818027771,0.1952475995
25,0.2080624461,0.1961401938,0.2311816237,0.2264613202,0.2212459950,0.2574507849,0.2132248258,0.2020856924,0.1994850669,0.2155137265
26,0.2155807978,0.1711554261,0.2266196456,0.2216097737,0.1991445697,0.2094395845,0.1709967504,0.2159442971,0.1808207020,0.2583744771
27,0.2195828908,0.2079080508,0.2435576630,0.1843958536,0.1375707045,0.2052931190,0.1656415596,0.2088976333,0.2080681066,0.2417108902
