,security,conformity,tradition,benevolence,universalism,self-direction,stimulation,hedonism,achievement,power,song_id
0,0.25353342,0.17467548,0.23217945,0.27801144,0.24428791,0.2748764,0.19244355,0.2487571,0.22352286,0.2722957,4116102
1,0.23371652,0.16314486,0.21625924,0.2535392,0.2264997,0.25622565,0.1842778,0.23433578,0.20559847,0.25354195,80257632
2,0.22795671,0.14211458,0.20874211,0.2548948,0.21813667,0.25306594,0.17188457,0.23650992,0.1939079,0.2443113,2241308
3,0.21718752,0.14409748,0.19152853,0.22898611,0.20349109,0.23263466,0.16721195,0.21771818,0.18212907,0.2339019,204336669
4,0.24525996,0.18137121,0.25620157,0.26663226,0.24483168,0.27345863,0.19125777,0.24104583,0.23161864,0.26875445,34952275
5,0.14110005,0.09493531,0.11230011,0.12936604,0.12729284,0.13179109,0.09521937,0.118203424,0.10508895,0.14581482,17390586
6,0.25209907,0.17985871,0.24418287,0.28554234,0.25268906,0.28151584,0.19256563,0.2554443,0.2260277,0.26987728,9223300
7,0.19360596,0.1424762,0.19529605,0.22415718,0.19230495,0.20009044,0.14537852,0.22354238,0.14264883,0.1897471,149782763
8,0.10835031,0.08929221,0.16066605,0.14057402,0.11725724,0.12535626,0.087151244,0.13817707,0.10287763,0.13586892,99962781
9,0.1371128,0.07816917,0.13107501,0.13522726,0.122571796,0.13634549,0.09668835,0.13568497,0.11828686,0.1480856,136930153
10,0.15253071,0.080067724,0.1422733,0.16454288,0.14041609,0.16001442,0.118867,0.16230306,0.10809884,0.15712854,85912872
11,0.2578699,0.1786275,0.25107297,0.2817096,0.2520843,0.2839278,0.18892792,0.25727034,0.24526651,0.27669433,57005765
12,0.2274679,0.14266655,0.20077583,0.25034654,0.21834454,0.24792305,0.1728783,0.23448774,0.20611143,0.24198982,99567690
13,0.23157665,0.1529941,0.20653057,0.24371763,0.21788248,0.24671918,0.1784975,0.22890225,0.20415217,0.24459285,151085454
14,0.2238179,0.16225496,0.23141113,0.24768522,0.22680822,0.23521918,0.16715991,0.22486717,0.18832105,0.2484766,134245347
15,0.19897667,0.13551064,0.17069128,0.2007739,0.18373848,0.20605487,0.15277773,0.18223846,0.18154028,0.2210093,16074172
16,0.21861613,0.13831489,0.20146024,0.2334103,0.20228985,0.2300235,0.1459825,0.21202123,0.18614876,0.22460766,61210999
17,0.08917685,0.04134386,0.09203834,0.08873747,0.08039145,0.08732675,0.061357066,0.0987979,0.0556898,0.081278324,102814436
18,0.2213499,0.16053239,0.22081688,0.24424222,0.22304636,0.25203001,0.18259473,0.2343406,0.20925625,0.2428743,205113268
19,0.15869549,0.0970713,0.14872564,0.16433945,0.14788282,0.16923864,0.12637252,0.1661852,0.13365284,0.17276381,99526020
20,0.22255434,0.15780258,0.21881819,0.24979268,0.2150833,0.2408948,0.171866,0.23408905,0.18759453,0.24038814,152156851
21,0.099912554,0.051011812,0.1215163,0.11287886,0.097644046,0.107022226,0.06922504,0.11914096,0.07438515,0.10072679,17997657
22,0.21577469,0.14853144,0.2024889,0.22086307,0.20069616,0.22484866,0.15084559,0.20244277,0.18714195,0.22787282,55713838
23,0.24105656,0.17195027,0.21887755,0.23230746,0.2265182,0.24485207,0.173887,0.22181918,0.20801534,0.25844866,97622225
24,0.102655746,0.07073228,0.1020289,0.12984592,0.101984754,0.11853499,0.0946751,0.13994676,0.08560561,0.113429695,114553438
25,0.19580857,0.12229999,0.19164132,0.21800068,0.18618411,0.21308102,0.14970604,0.21066722,0.17068836,0.20874694,45138126
26,0.22222103,0.17655696,0.23837705,0.2401537,0.22960544,0.239916,0.17829809,0.2252872,0.20155673,0.25190234,51897534
27,0.15654422,0.08984269,0.16092828,0.18631189,0.15830761,0.17762867,0.12551636,0.2090187,0.12385624,0.16251844,74451241
28,0.25537044,0.1673711,0.22042866,0.25214916,0.22903444,0.25901616,0.19212899,0.23099843,0.20830734,0.26638925,6629722
29,0.0519642,0.025400987,0.06478787,0.05032511,0.049049944,0.053370155,0.028868526,0.06538358,0.030194182,0.0501211,111234596
30,0.18390793,0.117965624,0.17336875,0.20110741,0.1790021,0.20160682,0.13810842,0.19694884,0.1622294,0.19727847,126273707
31,0.22915313,0.13982984,0.2124045,0.25747702,0.21621904,0.24587086,0.1813623,0.24480635,0.19449152,0.2389079,99567684
32,0.22193809,0.14980058,0.20892224,0.22847566,0.2071515,0.23435986,0.16610704,0.21638693,0.19803327,0.23950177,102339234
33,0.17225106,0.10548514,0.15644696,0.19000936,0.16124949,0.17995831,0.121555105,0.1798088,0.13405176,0.17471075,1632500
34,0.17124718,0.10568422,0.16729987,0.20635876,0.1747767,0.19590145,0.13386919,0.21036324,0.14900081,0.18831886,35094579
35,0.19195196,0.123299986,0.19925311,0.2064543,0.19237149,0.20606536,0.14577483,0.21168567,0.16748321,0.20607334,16843548
36,0.21481141,0.13507912,0.19003856,0.228571,0.19993201,0.2310136,0.1602637,0.21394297,0.18298277,0.2295457,106839634
37,0.21225789,0.14229472,0.19538125,0.22654393,0.20115478,0.22200367,0.15193695,0.20810935,0.17063698,0.21989019,134245346
38,0.25587428,0.19138604,0.21922173,0.2517959,0.2431493,0.25748312,0.2102882,0.21900843,0.21608083,0.33443347,5635960
39,0.2153808,0.14004824,0.19651812,0.23441678,0.20355338,0.23032293,0.16433772,0.22196922,0.18249625,0.2337668,142836663
