,security,conformity,tradition,benevolence,universalism,self-direction,stimulation,hedonism,achievement,power
0,-3,-3,-3,-3,-3,-3,-3,-3,-1,-2
1,-3,-3,-3,-2,-3,-3,-3,-2,-3,-2
2,0,0,0,0,0,0,0,0,0,0
3,-2,-1,-2,-1,-2,-2,-2,-2,-2,-2
4,0,0,0,0,0,0,0,0,0,0
5,-2,-2,-2,-1,-2,-1,-2,-2,-2,-2
6,-3,-3,-3,0,-3,-3,-3,-3,-3,-3
7,-7,-6,-7,-4,-6,-6,-7,-7,-7,-6
8,-2,-2,-2,-1,-2,-2,-2,-1,-2,-2
9,-1,-1,-1,-1,-1,0,-1,-1,-1,-1
10,-11,-11,-11,-2,-11,-11,-11,-10,-11,-10
11,-4,-4,-4,0,-4,-4,-4,-4,-4,-4
12,-5,-5,-5,-3,-5,-5,-5,-5,-4,-3
13,-2,-2,-2,-2,-2,-1,-2,-1,-2,-2
14,-8,-8,-8,0,-8,-8,-8,-8,-8,-8
15,-4,-4,-3,-4,-4,-4,-2,-4,-4,-3
16,-1,-1,-1,-1,-1,-1,-1,-1,0,-1
17,-3,-3,-2,-3,-3,-1,-3,-3,-3,-3
18,-1,-1,-1,0,-1,-1,-1,-1,-1,-1
19,-3,-3,-3,-3,-3,-2,-3,-3,-1,-3
20,0,0,0,0,0,0,0,0,0,0
21,-7,-7,-2,-7,-7,-6,-7,-6,-7,-7
22,-2,-2,-2,-2,-2,-1,-2,-2,-2,-1
23,-3,-3,-3,-3,-3,-2,-3,-3,-1,-3
24,0,0,0,0,0,0,0,0,0,0
25,-1,-1,-1,-1,-1,0,-1,-1,-1,-1
26,-2,-2,-2,-2,-2,-2,-2,-2,-2,0
27,-1,-1,-1,-1,-1,-1,-1,0,-1,-1
28,-2,-2,-2,0,-2,-2,-2,-2,-2,-2
29,-3,-3,-3,-3,-3,-2,-3,-2,-3,-2
30,-12,-12,-12,-2,-12,-11,-12,-11,-12,-12
31,-7,-7,-7,-7,-7,-6,-7,-7,-1,-7
32,0,0,0,0,0,0,0,0,0,0
33,-10,-10,-10,-10,-10,-10,-9,-10,-10,-1
34,-2,-2,-2,-1,-2,-2,-2,-2,-1,-2
35,-2,-1,-2,-2,-2,-1,-2,-2,-2,-2
36,-1,-1,-1,-1,-1,-1,-1,-1,0,-1
37,-1,-1,-1,-1,-1,-1,-1,0,-1,-1
38,-4,-4,-3,-4,-4,-3,-4,-4,-4,-2
39,0,0,0,0,0,0,0,0,0,0
40,-11,-11,-11,-3,-11,-11,-11,-11,-11,-8
41,0,0,0,0,0,0,0,0,0,0
42,-1,-1,-1,0,-1,-1,-1,-1,-1,-1
43,-3,-3,-3,-2,-3,-2,-3,-2,-3,-3
44,-3,-3,-3,-3,-3,-3,-3,0,-3,-3
45,0,0,0,0,0,0,0,0,0,0
46,-3,-3,-3,-3,-3,0,-3,-3,-3,-3
47,0,0,0,0,0,0,0,0,0,0
48,-1,-1,-1,-1,-1,-1,-1,0,-1,-1
49,-15,-15,-15,-12,-14,-8,-15,-15,-13,-13
50,-1,-1,-1,-1,-1,-1,0,-1,-1,-1
51,-2,-2,-2,-2,-2,-2,-2,0,-2,-2
52,-2,-2,-2,-1,-2,-1,-2,-2,-2,-2
53,-2,-2,-2,-2,0,-2,-2,-2,-2,-2
54,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
